CODGEO;LIBGEO;EPCI;LIBEPCI
01123;Cormoranche-sur-Saône;240100826;CC du Canton de Pont de Veyle
01124;Cormoz;240100339;CC du Canton de Saint Trivier de Courtes
01125;Corveissiat;240100636;CC de Treffort en Revermont
01127;Courmangoux;240100636;CC de Treffort en Revermont
01128;Courtes;240100339;CC du Canton de Saint Trivier de Courtes
01129;Crans;240100677;CC du Canton de Chalamont
01130;Cras-sur-Reyssouze;240100156;CC de Montrevel - en - Bresse
01133;Cressin-Rochefort;200040350;CC Bugey Sud
01134;Crottet;240100826;CC du Canton de Pont de Veyle
01135;Crozet;240100750;CC du Pays de Gex
01136;Cruzilles-lès-Mépillat;240100826;CC du Canton de Pont de Veyle
01138;Culoz;200040350;CC Bugey Sud
01139;Curciat-Dongalon;240100339;CC du Canton de Saint Trivier de Courtes
01140;Curtafond;240100156;CC de Montrevel - en - Bresse
01141;Cuzieu;200040350;CC Bugey Sud
01142;Dagneux;240100610;CC du Canton de Montluel
01143;Divonne-les-Bains;240100750;CC du Pays de Gex
01144;Dommartin;240100818;CC du Pays de Bâgé
01145;Dompierre-sur-Veyle;240100628;CA Bourg en Bresse Agglomération
01146;Dompierre-sur-Chalaronne;200035210;CC Chalaronne Centre
01147;Domsure;240100651;CC du Canton de Coligny
01148;Dortan;200042935;CC Haut - Bugey
01149;Douvres;240100883;CC de la Plaine de l'Ain
01150;Drom;240100636;CC de Treffort en Revermont
01151;Druillat;240100842;CC Bresse Dombes Sud Revermont
01152;Échallon;200042935;CC Haut - Bugey
01153;Échenevex;240100750;CC du Pays de Gex
01154;Étrez;240100156;CC de Montrevel - en - Bresse
01155;Évosges;240100396;CC de la Vallée de l'Albarine
01156;Faramans;240100883;CC de la Plaine de l'Ain
01157;Fareins;200042497;CC Dombes Saône Vallée
01158;Farges;240100750;CC du Pays de Gex
01159;Feillens;240100818;CC du Pays de Bâgé
01160;Ferney-Voltaire;240100750;CC du Pays de Gex
01162;Flaxieu;200040350;CC Bugey Sud
01163;Foissiat;240100156;CC de Montrevel - en - Bresse
01165;Francheleins;240100727;CC Montmerle Trois Rivières
01166;Frans;200042497;CC Dombes Saône Vallée
01167;Garnerans;240100594;CC Val de Saône - Chalaronne
01169;Genouilleux;240100727;CC Montmerle Trois Rivières
01170;Béard-Géovreissiat;200042935;CC Haut - Bugey
01171;Géovreisset;200042935;CC Haut - Bugey
01172;Germagnat;240100636;CC de Treffort en Revermont
01173;Gex;240100750;CC du Pays de Gex
01174;Giron;240100891;CC du Pays Bellegardien (Ccpb)
01175;Gorrevod;240100685;CC du Canton de Pont de Vaux
01176;Le Grand-Abergement;240100370;CC du Valromey
01177;Grand-Corent;240100636;CC de Treffort en Revermont
01179;Grièges;240100826;CC du Canton de Pont de Veyle
01180;Grilly;240100750;CC du Pays de Gex
01181;Groissiat;200042935;CC Haut - Bugey
01182;Groslée;240100412;CC Rhône - Chartreuse de Portes
01183;Guéreins;240100727;CC Montmerle Trois Rivières
01184;Hautecourt-Romanèche;240100693;CC de la Vallière
01185;Hauteville-Lompnes;240100578;CC du Plateau d'hauteville
01186;Hostiaz;240100396;CC de la Vallée de l'Albarine
01187;Hotonnes;240100370;CC du Valromey
01188;Illiat;240100594;CC Val de Saône - Chalaronne
01189;Injoux-Génissiat;240100891;CC du Pays Bellegardien (Ccpb)
01190;Innimond;240100412;CC Rhône - Chartreuse de Portes
01191;Izenave;200042935;CC Haut - Bugey
01192;Izernore;200042935;CC Haut - Bugey
01193;Izieu;200040350;CC Bugey Sud
01194;Jassans-Riottier;200040590;CA Villefranche Beaujolais Saône
01195;Jasseron;240100628;CA Bourg en Bresse Agglomération
01196;Jayat;240100156;CC de Montrevel - en - Bresse
01197;Journans;240100842;CC Bresse Dombes Sud Revermont
01198;Joyeux;240100883;CC de la Plaine de l'Ain
01199;Jujurieux;200029999;CC Rives de l'Ain - Pays du Cerdon
01200;Labalme;200029999;CC Rives de l'Ain - Pays du Cerdon
01202;Lagnieu;240100883;CC de la Plaine de l'Ain
01203;Laiz;240100826;CC du Canton de Pont de Veyle
01204;Lalleyriat;200042935;CC Haut - Bugey
01205;Lancrans;240100891;CC du Pays Bellegardien (Ccpb)
01206;Lantenay;200042935;CC Haut - Bugey
01207;Lapeyrouse;240100875;CC Centre Dombes
01208;Lavours;200040350;CC Bugey Sud
01209;Léaz;240100750;CC du Pays de Gex
01210;Lélex;240100750;CC du Pays de Gex
01211;Lent;240100628;CA Bourg en Bresse Agglomération
01212;Lescheroux;240100339;CC du Canton de Saint Trivier de Courtes
01213;Leyment;240100883;CC de la Plaine de l'Ain
01214;Leyssard;200042935;CC Haut - Bugey
01215;Lhôpital;240100891;CC du Pays Bellegardien (Ccpb)
01216;Lhuis;240100412;CC Rhône - Chartreuse de Portes
01218;Lochieu;240100370;CC du Valromey
01219;Lompnas;240100412;CC Rhône - Chartreuse de Portes
01221;Lompnieu;240100370;CC du Valromey
01224;Loyettes;240100883;CC de la Plaine de l'Ain
01225;Lurcy;240100727;CC Montmerle Trois Rivières
01227;Magnieu;200040350;CC Bugey Sud
01228;Maillat;200042935;CC Haut - Bugey
01229;Malafretaz;240100156;CC de Montrevel - en - Bresse
01230;Mantenay-Montlin;240100339;CC du Canton de Saint Trivier de Courtes
01231;Manziat;240100818;CC du Pays de Bâgé
01232;Marboz;240100651;CC du Canton de Coligny
01233;Marchamp;240100412;CC Rhône - Chartreuse de Portes
01234;Marignieu;200040350;CC Bugey Sud
01235;Marlieux;240100875;CC Centre Dombes
01236;Marsonnas;240100156;CC de Montrevel - en - Bresse
01237;Martignat;200042935;CC Haut - Bugey
01238;Massieux;200042497;CC Dombes Saône Vallée
01239;Massignieu-de-Rives;200040350;CC Bugey Sud
01240;Matafelon-Granges;200042935;CC Haut - Bugey
01241;Meillonnas;240100636;CC de Treffort en Revermont
01242;Mérignat;200029999;CC Rives de l'Ain - Pays du Cerdon
01243;Messimy-sur-Saône;240100727;CC Montmerle Trois Rivières
01244;Meximieux;240100883;CC de la Plaine de l'Ain
01245;Bohas-Meyriat-Rignat;240100693;CC de la Vallière
01246;Mézériat;240100669;CC des Bords de Veyle
01247;Mijoux;240100750;CC du Pays de Gex
01248;Mionnay;240100875;CC Centre Dombes
01249;Miribel;240100800;CC de Miribel et du Plateau
01250;Misérieux;200042497;CC Dombes Saône Vallée
01252;Mogneneins;240100594;CC Val de Saône - Chalaronne
01254;Montagnat;240100693;CC de la Vallière
01255;Montagnieu;240100412;CC Rhône - Chartreuse de Portes
01257;Montanges;240100891;CC du Pays Bellegardien (Ccpb)
01258;Montceaux;240100727;CC Montmerle Trois Rivières
01259;Montcet;240100628;CA Bourg en Bresse Agglomération
01260;Le Montellier;240100883;CC de la Plaine de l'Ain
01261;Monthieux;240100875;CC Centre Dombes
01262;Montluel;240100610;CC du Canton de Montluel
01263;Montmerle-sur-Saône;240100727;CC Montmerle Trois Rivières
01264;Montracol;240100628;CA Bourg en Bresse Agglomération
01265;Montréal-la-Cluse;200042935;CC Haut - Bugey
01266;Montrevel-en-Bresse;240100156;CC de Montrevel - en - Bresse
01267;Nurieux-Volognat;200042935;CC Haut - Bugey
01268;Murs-et-Gélignieux;200040350;CC Bugey Sud
01269;Nantua;200042935;CC Haut - Bugey
01271;Nattages;200040350;CC Bugey Sud
01272;Neuville-les-Dames;200035210;CC Chalaronne Centre
01273;Neuville-sur-Ain;200029999;CC Rives de l'Ain - Pays du Cerdon
01274;Les Neyrolles;200042935;CC Haut - Bugey
01275;Neyron;240100800;CC de Miribel et du Plateau
01276;Niévroz;240100610;CC du Canton de Montluel
01277;Nivollet-Montgriffon;240100396;CC de la Vallée de l'Albarine
01279;Oncieu;240100396;CC de la Vallée de l'Albarine
01280;Ordonnaz;240100412;CC Rhône - Chartreuse de Portes
01281;Ornex;240100750;CC du Pays de Gex
01282;Outriaz;200042935;CC Haut - Bugey
01283;Oyonnax;200042935;CC Haut - Bugey
01284;Ozan;240100685;CC du Canton de Pont de Vaux
01285;Parcieux;200042497;CC Dombes Saône Vallée
01286;Parves;200040350;CC Bugey Sud
01288;Péron;240100750;CC du Pays de Gex
